Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_20,SMA_50,EMA_12,EMA_26,MACD,MACD_Signal,MACD_Histogram,BB_Middle,BB_Upper,BB_Lower,RSI,Daily_Return,Volatility,Volume_SMA,Volume_Ratio,High_Low_Ratio,Close_Open_Ratio
2025-04-30 00:00:00-04:00,386.49757125114587,392.79562598704683,380.69467558939255,391.4092712402344,36461100,0.0,0.0,374.350602722168,382.4957733154297,380.5866682213798,379.2538385572951,1.3328296640846702,-1.867943999587162,3.200773663671832,374.350602722168,400.86261431461844,347.83859112971754,52.870396092814936,0.003096093636595798,0.47936703130630576,27172730.0,1.3418268977758216,0.030916361176910177,0.012708229894404394
2025-05-01 00:00:00-04:00,426.91004003637113,432.7327609318022,420.7605473528486,421.25567626953125,58938100,0.0,0.0,376.4925308227539,382.72274108886717,386.84343869032614,382.36508579523854,4.478352895087596,-0.5986846206522105,5.077037515739807,376.4925308227539,410.304719196254,342.6803424492538,71.15959672997417,0.07625369970088958,0.5466123688757459,29315005.0,2.010509634912223,0.028420302095332303,-0.013244860126405432
2025-05-02 00:00:00-04:00,427.533877248033,435.1588741169636,425.80092616148227,431.0393981933594,30757400,0.0,0.0,379.5707473754883,383.10200927734377,393.6428170754082,385.97059041732155,7.672226658086629,1.0554976350955574,6.616729022991072,379.5707473754883,421.0362993252122,338.10519542576435,71.90982399195339,0.02322513968350237,0.5382549247046915,29342975.0,1.048203190031004,0.021710191677846272,0.008199399233321279
2025-05-05 00:00:00-04:00,428.652877068793,435.2182909345157,427.9002714913439,431.9207458496094,20136100,0.0,0.0,383.3500686645508,383.65576171875,399.53172919451606,389.374305634528,10.157423559988047,2.8758828200740556,7.281540739913991,383.3500686645508,429.42103769683314,337.27909963226847,72.57284353531695,0.002044703245095647,0.5136284274260965,27889285.0,0.7220012990652145,0.01694296815675501,0.007623578320907785
2025-05-06 00:00:00-04:00,427.98939046931366,433.4655143471482,426.9694262460728,429.08856201171875,15104200,0.0,0.0,387.0858154296875,384.23625,404.0789342433165,392.3161024032088,11.762831840107708,4.6532726240807865,7.109559216026922,387.0858154296875,435.32927017718174,338.84236068219326,72.04817976357391,-0.006557184078573419,0.5140680560872982,26123245.0,0.5781900372637473,0.015139271181267141,0.0025682214720317872
2025-05-07 00:00:00-04:00,429.61342097536215,433.8517229596541,426.9100064238295,429.1282043457031,23295300,0.0,0.0,390.9869354248047,384.9383428955078,407.93266810522215,395.0429247693195,12.889743335902665,6.300566766445162,6.589176569457503,390.9869354248047,439.5969266638545,342.3769441857549,82.90346485381734,9.23873006506426e-05,0.5104777345350833,25494565.0,0.9137359276379102,0.016176323218858934,-0.001129426144456618
2025-05-08 00:00:00-04:00,433.66356271096413,439.3476626606329,431.41568853142036,433.9012451171875,23491300,0.0,0.0,393.34771118164065,385.69965270996096,411.92783379937066,397.92131886916155,14.006514930209107,7.841756399197951,6.164758531011156,393.34771118164065,445.53279837158595,341.16262399169534,87.1216236026585,0.011122645221518068,0.3819605047387509,24159145.0,0.9723564306601082,0.018280597759221237,0.0005480801862567036
2025-05-09 00:00:00-04:00,435.7133964534002,436.4461774951318,431.6335394854884,434.4557800292969,15324200,0.0,0.0,396.18875885009766,386.6146514892578,415.39367168089774,400.6275752513938,14.766096429503932,9.226624405259148,5.539472024244784,396.18875885009766,450.89783313093557,341.47968456925975,95.90586263382609,0.0012780210205656228,0.366450467399028,23024135.0,0.665571149578475,0.011077394365242032,-0.002886338667436027
2025-05-12 00:00:00-04:00,441.59557651706575,444.99215360101994,435.495584693897,444.88323974609375,22821900,0.0,0.0,399.19963989257815,387.6498681640625,419.93052830631245,403.90577262137157,16.024755684940885,10.586250661195496,5.438505023745389,399.19963989257815,457.73295018134536,340.66632960381094,96.03526594356981,0.024001199192455802,0.36914768577832097,22973270.0,0.9934110381325776,0.02134620515833069,0.00744496413428395
2025-05-13 00:00:00-04:00,443.4176075446257,446.27946690563454,441.0211705280613,444.7643737792969,23618800,0.0,0.0,402.2362655639648,388.8510516357422,423.7511199175408,406.93233567010674,16.818784247434053,11.832757378443208,4.9860268689908445,402.2362655639648,463.68520284579574,340.7873282821339,95.52922732581428,-0.00026718463672559256,0.3687238094829766,23191650.0,1.0184182669193438,0.01182265641668172,0.003037241218563113
